gene,gs001,gs002,gs003,gs004,gs005,gs006,gs007,gs008,gs009,gs010,gs011,gs012,gs013,gs014,gs015,gs016,gs017,gs018,gs019,gs020,gs021,gs022,gs023,gs024
ADH6,148.340913879462,159.276385384244,159.429598956174,183.211680322306,144.939855065968,149.799875641823,166.639606102733,128.594998061045,121.673779338226,130.893957345692,127.878497957185,142.546217509717,136.451769421474,156.948584684085,159.884743562365,148.792097329612,143.43595161598,151.413929865814,151.191042510071,143.399286931703,149.325221271424,144.639822461518,153.825447030613,155.614301299771
ADM,125.431120230124,168.249702870681,141.715199072155,105.346716185326,130.099596868087,151.43405610337,152.274122818014,121.030586410395,140.109200450078,152.709616903308,180.450769339583,152.462476119089,106.367914745873,137.503627289597,124.031801066562,120.77684887843,99.9914085784474,132.667443310999,261.206652166336,206.065904449101,159.833292397931,249.832420615349,479.056392181053,145.614988766453
ADORA2A,26.9190075379719,17.9466349728726,25.3062855485991,13.740876024173,24.7337636631344,28.8705214873331,35.9137082117958,28.5766662357878,18.4354211118524,20.1996847755698,26.2861356911991,24.1708803603434,29.0094312943291,30.5563616199104,33.914945604138,29.8829316812611,19.9982817156895,20.9095426957552,27.0213778103106,35.0029755502582,29.8650442542847,13.1490747692289,21.9750638615162,23.1234102332994
AFDN,57.2744841233445,53.8399049186178,53.1431996520581,41.2226280725189,50.4568778727942,43.0334188207418,49.5609173322782,51.269901187737,47.9320948908162,55.7511299805726,40.4948576864419,43.3836314160009,45.1257820134009,46.5290051939545,48.4499222916257,40.466469985041,50.340502249839,48.308253814331,45.0356296838509,58.7146686649493,48.6689610069825,55.2261140307614,17.580051089213,45.6218634332663
AICDA,130.585823801225,103.193151094017,98.6945136395365,96.1861321692108,128.120895775036,120.384627333974,130.007623726701,136.159409711695,165.918790006671,130.893957345692,105.854978864559,122.713700290974,133.22849927766,131.253462412797,134.690783970719,110.19331057465,113.783327003061,126.899293601825,120.309467869716,130.978876252579,129.415191768567,123.601302830752,70.3202043568518,129.36610589981
AIRE,113.976223405456,112.166468580454,126.531427742996,82.4452561450378,121.195441949359,115.482085949332,126.416252905521,116.828135493368,77.42876866978,127.662007781601,118.642828660277,107.219546213831,120.335418702402,109.725116726042,123.062802620729,113.306115958115,110.335347396907,123.294200033591,114.51917262465,119.687593817012,113.376556891266,128.860932738443,101.085293762975,123.116535566486
AKAP1,130.585823801225,148.059738526199,116.408913523556,123.667884217557,134.551674327451,147.62096835976,127.852801233993,122.711566777206,140.109200450078,131.701944736715,131.430678455996,119.614869475545,145.047156471646,111.11404225422,142.44277153738,133.228070412289,122.058478057829,145.64578015664,129.959959944827,133.237132739693,138.264093769837,134.120562646135,109.875319307581,124.991406666483
AKR1C4,114.548968246689,103.193151094017,86.041370865237,100.766424177268,105.860508478215,101.319188615924,114.205592113511,105.901763109096,106.925442448744,113.118234743191,110.828031562894,102.881183072231,112.814455033502,106.947265669686,130.814790187389,113.928677034808,131.023225033828,118.968087751711,110.015609656264,101.056977798326,115.035726016504,86.7838934769107,114.270332079884,121.241664466489
AKT1,148.913658720696,150.303067897808,194.858398724213,164.890512290076,158.790762717323,150.889329282854,140.78173619024,131.116468611262,154.85753733956,170.485339505809,158.427250246957,140.067152857374,168.684470859618,139.587015581863,129.845791741557,143.189047639376,159.986253725516,159.345135715928,155.051239340115,141.14103044459,150.984390396662,149.899452369209,175.80051089213,135.615676233134
AKT2,141.467975784661,157.033056012635,146.776456181875,151.149636265903,132.5729732344,128.55552964171,141.500010354475,148.766762462778,224.912137564599,160.789490813535,132.85155065552,153.082242282175,140.74946294656,124.308834771908,144.380768429045,126.379898568667,129.644033191366,131.946424597352,125.456396976442,142.270158688146,128.862135393488,99.9329682461397,105.480306535278,138.115504366464
AKT3,119.70367181779,112.166468580454,129.062056297855,146.569344257845,135.541024873977,118.750446872427,135.035542876352,124.392547144018,140.109200450078,126.046032999555,125.036753558136,132.01019273726,148.27042661546,119.447595423286,125.969797958227,113.306115958115,134.471204639981,143.482724015699,126.099763114783,136.059953348584,153.196615896979,134.120562646135,131.850383169097,111.24235193317
ALCAM,119.70367181779,152.546397269417,141.715199072155,178.631388314249,121.690117222621,141.084246513571,139.345187861768,153.809703563211,125.360863560596,132.509932127738,163.400302945292,151.842709956003,142.898309709103,137.503627289597,141.473773091547,165.601246400322,171.709384386437,183.13875326627,169.848660521952,145.092979297038,148.772164896344,120.971487876906,136.2453959414,149.364730966447
ALDOA,291.527124187824,269.199524593089,293.55291236375,183.211680322306,222.60387296821,225.516903693508,226.256361734314,236.177741536952,199.102548008006,366.826275524347,311.171011695816,220.636754058519,286.871042799477,135.42023899733,198.644681395665,239.063453450088,219.291502951354,237.215156789775,205.877164269033,259.699496018045,516.554654324109,191.976491630742,536.191558220995,181.2375396664
ALDOC,130.013078959992,130.113103553326,159.429598956174,119.087592209499,132.078297961138,144.352607436665,170.230976923912,164.736075947483,151.17045311719,143.821755602057,145.639400451238,165.477565543889,121.409842083674,164.587675089063,130.814790187389,184.900639777803,171.019788465207,157.182079574987,175.638955767019,255.747547165597,464.014298691572,131.490747692289,140.640408713704,151.864559099777
ALK,139.176996419727,145.81640915459,141.715199072155,96.1861321692108,116.743364489994,125.831895539131,136.472091204824,126.914017694234,92.1771055592619,116.350184307282,122.90544525885,111.557909355431,117.112148558588,127.086685828264,120.155807283232,120.154287801737,124.127265821521,134.830499451939,129.959959944827,149.609492271265,135.49881189444,155.159082276901,83.5052426737615,143.740117666455
ALKBH2,109.394264675588,89.733174864363,116.408913523556,146.569344257845,131.088947414612,123.108261436552,136.472091204824,136.159409711695,125.360863560596,114.734209525236,104.434106665034,141.306685183546,130.005229133845,148.615031515019,125.000799512394,123.889654261895,108.266559633215,125.457256174531,115.16253876299,124.204106791239,117.801007891901,163.048527138438,153.825447030613,112.492265999835
ALKBH3,121.994651182724,123.383115438499,131.592684852715,64.1240881128072,119.711416129571,123.108261436552,109.895947128095,105.901763109096,103.238358226373,122.006096044441,105.854978864559,109.078844703088,110.665608270959,115.280818838753,114.341816608237,107.080505191185,116.541710687983,119.689106465357,104.225314411198,129.849748009023,132.733530019043,144.639822461518,101.085293762975,117.491922266494
AMBP,105.957795628187,116.653127323672,103.755770749256,128.248176225614,112.785962303893,108.945364103144,91.9390930221972,102.539802375474,114.299610893485,141.397793428988,90.9358207695537,120.234635638631,124.633112227488,118.058669895108,109.496824379074,110.815871651343,97.9226208147553,96.616507628662,104.225314411198,112.912824355672,127.756022643329,115.711857969214,105.480306535278,99.9931253331864
AMER1,127.722099595058,139.086421039763,136.653941962435,119.087592209499,130.59427214135,134.547524667383,124.979704577049,110.104214026124,106.925442448744,113.118234743191,115.801084261228,126.432297269488,120.335418702402,134.031313469152,107.558827487409,119.531726725044,108.266559633215,131.225405883705,121.596200146398,137.75364571392,136.051868269519,113.082043015369,114.270332079884,122.491578533153
AMH,156.35934165673,188.439667215162,134.123313407575,114.507300201441,149.391932525332,148.165695180276,124.979704577049,140.361860628723,151.17045311719,130.085969954669,142.087219952428,141.306685183546,145.047156471646,136.809164525508,125.000799512394,147.546975176226,148.952718985825,150.692911152167,144.757381126664,158.07795409794,161.492461523169,155.159082276901,109.875319307581,150.614645033112
